# file: data/faqs.csv
question,answer
第一次玩剧本杀需要准备什么？,建议提前10分钟到店；带好身份证件（部分城市/店家可能需要登记）；穿着舒适；手机调静音；保持开放心态，认真读本和倾听他人发言即可。
新手如何快速进入角色？,先把人物关系与目标任务读清楚；用“我是谁-我与谁有关-我想要什么”三句话复述；发言时多用第一人称；不确定时先提出问题而不是强行输出结论。
可以中途离开或退场吗？,强烈不建议。剧本杀是多人协作推理/表演活动，中途离场会破坏体验。确有紧急情况需先告知DM并尽量在休息环节短暂处理。
迟到会影响游戏吗？,会。开局信息与规则讲解通常一次性完成。迟到会导致你缺失关键背景并拖慢全场节奏。建议至少提前10分钟到达。
DM是什么？主要做什么？,DM（主持人）负责规则讲解、流程推进、计时控场、答疑、发放线索、处理卡顿与争议，并保障游戏体验与安全边界。
剧本杀一定要“演”吗？,不一定。多数剧本以推理为核心，轻度代入即可。你可以选择偏推理风的发言方式，也可以适度沉浸表演，按个人舒适度来。
如何避免“跑题聊天”影响推理？,建议每轮发言围绕“时间线-动机-证据-矛盾点”四类内容；DM也会在关键节点收束话题。你也可礼貌提醒：先把这条线索过完。
什么是“搜证”？怎么搜才有效？,搜证是分场景/人物搜集物证与线索。有效做法：先锁定问题（谁在什么时间做了什么）；再按时间线逐项验证；拿到线索后立刻拍照记录并标注来源与时间点。
可以拍照或录音吗？,通常不允许录音录像，拍照也多限制在“线索卡”且需经DM同意。核心原因是防剧透与保护版权。请以门店规则为准。
遇到“剧透”怎么办？,立即告知DM。DM可调整线索发放、重置部分信息或对剧透者进行处理。作为玩家也应避免传播未公开信息，维护公平性。
什么是“盘凶”？,盘凶是通过时间线、动机、手法、证据链推导出凶手/真相的过程。常用框架是：建立全员时间线→找矛盾点→验证作案可行性→补齐动机闭环。
如何建立时间线？,把每个人“关键时刻（分场）”的行动写成列表；标注地点与可被验证的证据；对冲突时间点做重点质疑；用“谁能证明/谁不能证明”来判断可信度。
什么是“锁凶”与“排除法”？,锁凶是把嫌疑范围缩到极小；排除法是逐个验证“不可能作案”的人。优先排除“作案时间不在场/手法不可能/关键证据冲突”的对象。
有人一直不发言怎么办？,可以邀请其用“我这轮的核心信息是…”做简短总结；DM也可点名。避免指责，用结构化提问：你在X时刻在哪里？谁能证明？你手里有哪些线索？
有人太强势带节奏怎么办？,先把讨论拉回证据：请对方给出证据来源与可验证点；必要时请求DM控场轮流发言；你也可提出“我补一条反证/矛盾点”来平衡观点。
什么是“机制本/情感本/硬核本”？,机制本侧重桌游式规则与任务；情感本侧重关系与抉择；硬核本侧重高密度推理。新手可从“新手友好/轻推理/欢乐本”入门。
新手适合选什么难度？,建议选择“新手/入门/轻推理”标签，人数6-7较合适；避免开局信息过载或强机制重任务的本。
玩之前要不要看攻略？,一般不建议看含剧透的攻略。可看“无剧透指南”了解玩法与礼仪，例如如何记笔记、如何提问、如何发言结构化。
如何做笔记最有效？,按三栏：时间线、人物关系、证据点。证据点记录“来源/时间/指向谁/是否可被反证”。最后用一页写“当前最可疑的人+理由+待验证问题”。
什么是“反证”？,反证是能推翻某个推断的证据或逻辑冲突。例如某人被指控在A地作案，但有可靠证据显示其在B地并可被多人证明。
什么是“动机闭环”？,指凶手为何要做、如何做、做完如何掩盖都能自洽。仅有“机会”不够，还需要“动机+手法+证据链”共同成立。
什么是“强证据/弱证据”？,强证据通常可验证且指向唯一或少数对象（如唯一钥匙/指纹/唯一通行记录）；弱证据多为主观陈述或可多解信息（如模糊目击、情绪推断）。
如何处理“说谎”与“信息差”？,默认每个人都可能隐瞒任务信息。做法：把陈述拆成可验证的点逐条核对；先确认“事实层”再讨论“解释层”；记录前后口径变化。
可以私聊吗？,部分剧本允许“私聊”或“密谈”环节，通常由DM控制时长与频次。若规则不允许，请勿私下交流以免影响公平。
如何避免“贴脸”（人身攻击）？,质疑只针对剧情行为与证据，不针对现实人格。使用“我认为你的时间线有矛盾”而不是“你就是在狡辩”。出现不适可立即请DM介入。
遇到内容不适（恐怖/暴力/情感触发）怎么办？,可随时向DM提出暂停或更换参与方式。选择剧本前建议了解门店的“安全词/内容分级”机制，确保边界与舒适度。
什么是“复盘”？,游戏结束后对真相与关键线索进行回顾：谁在何时做了什么、关键证据如何指向、哪些误导点如何识别。复盘能显著提升下一次的推理效率。
为什么我总被“误导线索”带跑？,常见原因是只看单点线索而忽略时间线与可行性。建议：任何结论都要过三关：作案时间可行、手法可行、动机闭环；缺一就标记为“待验证”。
如何提升推理能力？,多练“时间线整理+提问能力+反证思维”。每局复盘时写下：我在哪一步被误导？下次如何用验证点更快排除？
多人抢话/发言混乱怎么办？,建议按轮次发言：每人1-2分钟总结“本轮新增信息+指向+待验证问题”；DM可启用计时器；你也可提议先把时间线补齐再讨论凶手。
店里提供道具/服装吗？,不同门店不同。部分门店提供基础披风、徽章、手卡等，服装多为可选租赁。建议下单前查看门店说明或咨询DM。
我能带朋友旁听/围观吗？,通常不允许。剧本杀需要信息隔离与沉浸，旁听者会影响玩家发言与公平性。若有观摩需求请询问门店是否有观战房或录像复盘服务。
